# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the scientific
# community in the belief that their wide dissemination will lead to
# greater understanding and new scientific insights. To ensure that GML
# receives fair credit for their work please include relevant citation
# text in publications. We encourage users to contact the data providers,
# who can provide detailed information about the measurements and
# scientific insight.  In cases where the data are central to a
# publication, coauthorship for data providers may be appropriate.
#
#
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Thu Mar  5 09:58:04 2026
#
#
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Annual CH4 mole fraction increase (ppb) from Jan 1 through Dec 31.
#
# Uncertainty in the global annual increase is estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the annual increases are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. Please see Dlugokencky
# et al., 1994, JGR, vol. 99, 17021-17043, for a complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,ann inc,unc
1984,12.90,0.80
1985,12.18,0.89
1986,12.90,0.68
1987,11.44,0.70
1988,10.72,0.54
1989,11.17,0.52
1990,8.66,0.44
1991,14.00,0.63
1992,2.43,0.51
1993,3.85,0.57
1994,7.27,0.62
1995,3.85,0.57
1996,2.48,0.37
1997,6.33,0.68
1998,12.13,0.70
1999,2.27,0.70
2000,-1.34,0.56
2001,-0.66,0.47
2002,3.18,0.58
2003,4.83,0.67
2004,-4.71,0.45
2005,0.23,0.49
2006,1.84,0.61
2007,7.83,0.60
2008,6.56,0.41
2009,4.74,0.47
2010,5.04,0.72
2011,5.04,0.64
2012,5.00,0.49
2013,5.64,0.58
2014,12.74,0.50
2015,10.00,0.77
2016,7.12,0.69
2017,6.84,0.77
2018,8.71,0.54
2019,9.61,0.70
2020,14.85,0.53
2021,17.68,0.36
2022,12.97,0.39
2023,8.56,0.78
2024,7.23,0.56
